Customer_ID,Age,Income,City,Purchase
101,25,30000,Kochi,500
102,31,45000,Kannur,800
103,,38000,Kochi,600
104,29,-5000,Kochi,700
104,29,-5000,Kochi,700
105,150,42000,KANNUR,900
106,22,28000,Kozhikode,450
107,35,52000,Kochi,1200
108,,35000,Kannur,650
109,27,31000,Kozhikode,550
110,42,60000,Kochi,1500
111,19,22000,KANNUR,300
112,33,-10000,Kochi,1000
113,28,40000,Kannur,750
114,31,45000,Kannur,800
115,200,50000,Kochi,1100
116,24,29000,Kozhikode,500
117,,33000,Kochi,600
118,38,55000,KANNUR,1300
119,26,32000,Kozhikode,520
120,30,47000,Kochi,850
